community_id,size,total_comments,avg_likes,total_likes,avg_sentiment
0,5,5,0.0,0,0.12738
1,6,6,0.16666666666666666,1,0.45174999999999993
2,4,4,0.5,2,0.350125
3,6,6,0.16666666666666666,1,0.0734
4,4,4,0.25,1,0.31882499999999997
5,5,5,0.2,1,0.1746
6,4,4,0.0,0,0.0
7,6,7,0.0,0,0.0
8,5,6,0.5,3,0.06871666666666666
9,5,5,0.2,1,0.18345999999999996
10,5,7,0.0,0,0.0
11,4,5,0.0,0,0.0
12,6,6,0.0,0,0.0
13,5,5,15.2,76,0.23662
14,7,7,0.0,0,0.0
15,4,8,0.25,2,0.09667500000000001
16,4,6,0.3333333333333333,2,0.19668333333333332
17,4,4,0.75,3,0.2838
18,5,6,0.0,0,0.0
19,6,6,0.0,0,0.0
20,4,5,0.0,0,0.05
21,6,7,1.1428571428571428,8,0.38907142857142857
22,4,4,1.5,6,0.098775
23,5,5,0.0,0,0.0
24,7,7,0.0,0,0.0
25,7,7,0.0,0,0.0
26,5,5,1.4,7,0.2088
27,5,6,0.3333333333333333,2,0.11445000000000001
28,7,7,1.1428571428571428,8,0.30439999999999995
29,6,6,0.0,0,0.30593333333333333
30,6,6,0.16666666666666666,1,0.30638333333333334
31,6,6,0.5,3,0.20088333333333333
32,4,4,0.75,3,0.1556
33,6,6,0.16666666666666666,1,0.2917666666666667
34,5,6,0.0,0,0.16628333333333334
35,5,5,0.0,0,0.26815999999999995
36,5,9,0.1111111111111111,1,0.22990000000000002
37,6,6,0.0,0,0.12305
38,4,4,0.0,0,0.184925
39,5,5,0.0,0,0.32944
40,4,7,0.42857142857142855,3,0.5116285714285714
41,6,6,1.6666666666666667,10,0.31826666666666664
42,4,4,0.75,3,0.28325
43,4,4,0.0,0,0.09080000000000002
44,5,5,0.2,1,0.12856000000000004
45,6,6,0.3333333333333333,2,0.3572166666666667
46,6,6,0.16666666666666666,1,0.10833333333333335
47,6,7,0.2857142857142857,2,-0.0021428571428571447
48,5,5,0.2,1,0.12738
49,7,11,0.0,0,0.07777272727272727
50,6,6,0.0,0,0.041666666666666664
51,5,5,0.0,0,0.12738
